amenity,risk
public_building,2
photo_booth,2
luggage_locker,1
nursery,2
stripclub,3
gambling,3
family_centre,2
motorcycle_parking,1
bistro,3
playground,2
meditation_centre,1
scrapyard,1
courthouse,2
cram_school,3
ATLAS_clean_room,1
safety,1
workshop,2
lobby,2
science,2
juice_bar,2
EVSE,1
first_aid,2
ranger_station,2
storage_rental,2
watering_place,1
lounge,2
university,2
trash,1
conference_centre,2
smoking_area,1
vacuum_cleaner,1
post_depot,1
disused:restaurant,1
water_point,2
Observation Platform,3
housing co-op,2
shower,2
nightclub,3
chiropractor,2
internet_cafe,2
monastery,3
storage,1
gym,3
social_centre,3
payment_terminal,1
atm;bank,1
boat_rental,1
park,2
sanitary_dump_station,2
driving_school,2
biergarten,3
casino,3
hospital,3
studio,2
prep_school,2
waste_transfer_station,1
office|financial,1
hunting_stand,1
Pharmacy,2
marketplace,2
money_transfer,1
shop|clothes,2
parking_space,1
taxi,1
seaplane terminal,2
training,2
construction,1
animal_shelter,2
bbq,1
language_school,2
spa,2
trolley_bay,1
clock,1
bureau_de_change,1
compressed_air,1
college,2
kindergarten,2
arts_centre,2
dojo,3
car_rep,2
events_venue,3
cinema,2
research_institute,2
loading_dock,1
bus_station,1
motorcycle_rental,1
food_court,2
bar,3
car_sharing,1
library,2
car_wash,1
leisure,2
fuel,2
ferry_terminal,2
car_rental,1
drinking_water,1
public_bookcase,2
police,1
place_of_worship,3
healthcare,3
theatre,2
community_centre,3
charging_station,1
bicycle_repair_station,2
letter_box,1
ice_cream,2
childcare,2
social_facility,3
telephone,1
music_school,2
atm,1
school,2
vending_machine,1
waste_basket,1
dentist,3
veterinary,2
clinic,3
bicycle_rental,2
post_office,2
doctors,3
parking_entrance,1
townhall,2
shelter,2
waste_disposal,1
bicycle_parking,1
bank,2
pharmacy,2
fire_station,1
fountain,1
bench,1
post_box,1
toilets,1
fast_food,2
recycling,2
restaurant,3
parking,1
pub,3
cafe,2
